#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.99457020e-27     
   1.0000        2.0000e+14    4.07697772e-27     
   1.0000        5.0000e+14    4.22592268e-27     
   1.0000        1.0000e+15    4.38247013e-27     
   1.0000        2.0000e+15    4.59726278e-27     
   1.0000        5.0000e+15    5.03497246e-27     
   1.0000        1.0000e+16    5.58246911e-27     
   1.0000        2.0000e+16    6.47260134e-27     
   1.0000        5.0000e+16    8.44515532e-27     
   1.0000        1.0000e+17    1.05266037e-26     
   1.0000        2.0000e+17    1.27989585e-26     
   1.0000        5.0000e+17    1.55018311e-26     
   1.0000        1.0000e+18    1.70826178e-26     
   1.0000        2.0000e+18    1.82404671e-26     
   1.0000        5.0000e+18    1.92489460e-26     
   1.0000        1.0000e+19    1.97272254e-26     
   1.0000        2.0000e+19    2.00378923e-26     
   1.0000        5.0000e+19    2.02873744e-26     
   1.0000        1.0000e+20    2.04029188e-26     
   1.0000        2.0000e+20    2.04775403e-26     
   1.0000        5.0000e+20    2.05343534e-26     
   1.0000        1.0000e+21    2.05591747e-26     
   1.0000        2.0000e+21    2.05769474e-26     
   1.5000        1.0000e+14    2.59246823e-27     
   1.5000        2.0000e+14    2.62947102e-27     
   1.5000        5.0000e+14    2.69594309e-27     
   1.5000        1.0000e+15    2.76567466e-27     
   1.5000        2.0000e+15    2.86160851e-27     
   1.5000        5.0000e+15    3.05878982e-27     
   1.5000        1.0000e+16    3.30719732e-27     
   1.5000        2.0000e+16    3.70749667e-27     
   1.5000        5.0000e+16    4.55812901e-27     
   1.5000        1.0000e+17    5.40260420e-27     
   1.5000        2.0000e+17    6.27674182e-27     
   1.5000        5.0000e+17    7.26880129e-27     
   1.5000        1.0000e+18    7.82808088e-27     
   1.5000        2.0000e+18    8.22825730e-27     
   1.5000        5.0000e+18    8.56929730e-27     
   1.5000        1.0000e+19    8.72684214e-27     
   1.5000        2.0000e+19    8.82738483e-27     
   1.5000        5.0000e+19    8.90701616e-27     
   1.5000        1.0000e+20    8.94266740e-27     
   1.5000        2.0000e+20    8.96468370e-27     
   1.5000        5.0000e+20    8.98093217e-27     
   1.5000        1.0000e+21    8.98808632e-27     
   1.5000        2.0000e+21    8.99315800e-27     
   2.0000        1.0000e+14    1.87525572e-27     
   2.0000        2.0000e+14    1.89606714e-27     
   2.0000        5.0000e+14    1.93312459e-27     
   2.0000        1.0000e+15    1.97177641e-27     
   2.0000        2.0000e+15    2.02485230e-27     
   2.0000        5.0000e+15    2.13412750e-27     
   2.0000        1.0000e+16    2.27196532e-27     
   2.0000        2.0000e+16    2.49240772e-27     
   2.0000        5.0000e+16    2.94905260e-27     
   2.0000        1.0000e+17    3.38730342e-27     
   2.0000        2.0000e+17    3.82863239e-27     
   2.0000        5.0000e+17    4.31781247e-27     
   2.0000        1.0000e+18    4.58856916e-27     
   2.0000        2.0000e+18    4.78015957e-27     
   2.0000        5.0000e+18    4.94160458e-27     
   2.0000        1.0000e+19    5.01521149e-27     
   2.0000        2.0000e+19    5.06184944e-27     
   2.0000        5.0000e+19    5.09846862e-27     
   2.0000        1.0000e+20    5.11450540e-27     
   2.0000        2.0000e+20    5.12419162e-27     
   2.0000        5.0000e+20    5.13127228e-27     
   2.0000        1.0000e+21    5.13439683e-27     
   2.0000        2.0000e+21    5.13655192e-27     
   3.0000        1.0000e+14    1.17716360e-27     
   3.0000        2.0000e+14    1.18646834e-27     
   3.0000        5.0000e+14    1.20275084e-27     
   3.0000        1.0000e+15    1.21949193e-27     
   3.0000        2.0000e+15    1.24227262e-27     
   3.0000        5.0000e+15    1.28891192e-27     
   3.0000        1.0000e+16    1.34750379e-27     
   3.0000        2.0000e+16    1.44019756e-27     
   3.0000        5.0000e+16    1.62701011e-27     
   3.0000        1.0000e+17    1.80033592e-27     
   3.0000        2.0000e+17    1.97036880e-27     
   3.0000        5.0000e+17    2.15468218e-27     
   3.0000        1.0000e+18    2.25495565e-27     
   3.0000        2.0000e+18    2.32519365e-27     
   3.0000        5.0000e+18    2.38372061e-27     
   3.0000        1.0000e+19    2.41008733e-27     
   3.0000        2.0000e+19    2.42669986e-27     
   3.0000        5.0000e+19    2.43960739e-27     
   3.0000        1.0000e+20    2.44512563e-27     
   3.0000        2.0000e+20    2.44839759e-27     
   3.0000        5.0000e+20    2.45078390e-27     
   3.0000        1.0000e+21    2.45183508e-27     
   3.0000        2.0000e+21    2.45252974e-27     
   5.0000        1.0000e+14    6.32218012e-28     
   5.0000        2.0000e+14    6.35631780e-28     
