#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=16.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(16)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    5.96005313e-26     
   1.0000        2.0000e+14    6.63228275e-26     
   1.0000        5.0000e+14    7.35744929e-26     
   1.0000        1.0000e+15    7.75739203e-26     
   1.0000        2.0000e+15    8.04277733e-26     
   1.0000        5.0000e+15    8.28571084e-26     
   1.0000        1.0000e+16    8.39849235e-26     
   1.0000        2.0000e+16    8.47114179e-26     
   1.0000        5.0000e+16    8.52804526e-26     
   1.0000        1.0000e+17    8.55285806e-26     
   1.0000        2.0000e+17    8.56824816e-26     
   1.0000        5.0000e+17    8.57993658e-26     
   1.0000        1.0000e+18    8.58492264e-26     
   1.0000        2.0000e+18    8.58797637e-26     
   1.0000        5.0000e+18    8.59028457e-26     
   1.0000        1.0000e+19    8.59127115e-26     
   1.0000        2.0000e+19    8.59187499e-26     
   1.0000        5.0000e+19    8.59233621e-26     
   1.0000        1.0000e+20    8.59254123e-26     
   1.0000        2.0000e+20    8.59267055e-26     
   1.0000        5.0000e+20    8.59276736e-26     
   1.0000        1.0000e+21    8.59280907e-26     
   1.0000        2.0000e+21    8.59283857e-26     
   1.5000        1.0000e+14    3.19156020e-26     
   1.5000        2.0000e+14    3.48067264e-26     
   1.5000        5.0000e+14    3.78609696e-26     
   1.5000        1.0000e+15    3.95170064e-26     
   1.5000        2.0000e+15    4.06850305e-26     
   1.5000        5.0000e+15    4.16684694e-26     
   1.5000        1.0000e+16    4.21206030e-26     
   1.5000        2.0000e+16    4.24097592e-26     
   1.5000        5.0000e+16    4.26345558e-26     
   1.5000        1.0000e+17    4.27318460e-26     
   1.5000        2.0000e+17    4.27918040e-26     
   1.5000        5.0000e+17    4.28370005e-26     
