#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=20.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(20)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    2.79605649e-28     
   1.0000        2.0000e+14    1.86979673e-28     
   1.0000        5.0000e+14    1.05602061e-28     
   1.0000        1.0000e+15    6.71164537e-29     
   1.0000        2.0000e+15    4.21455523e-29     
   1.0000        5.0000e+15    2.25374459e-29     
   1.0000        1.0000e+16    1.39914474e-29     
   1.0000        2.0000e+16    8.69568507e-30     
   1.0000        5.0000e+16    4.67091965e-30     
   1.0000        1.0000e+17    2.94681376e-30     
   1.0000        2.0000e+17    1.88049260e-30     
   1.0000        5.0000e+17    1.06154569e-30     
   1.0000        1.0000e+18    7.02180862e-31     
   1.0000        2.0000e+18    4.73206190e-31     
   1.0000        5.0000e+18    2.88479777e-31     
   1.0000        1.0000e+19    2.02344472e-31     
   1.0000        2.0000e+19    1.44449557e-31     
   1.0000        5.0000e+19    9.34289017e-32     
   1.0000        1.0000e+20    6.68224462e-32     
   1.0000        2.0000e+20    4.81912263e-32     
   1.0000        5.0000e+20    3.29270004e-32     
   1.0000        1.0000e+21    2.55743862e-32     
   1.0000        2.0000e+21    1.96584721e-32     
   1.5000        1.0000e+14    2.21846528e-26     
   1.5000        2.0000e+14    1.47795893e-26     
   1.5000        5.0000e+14    8.31370346e-27     
   1.5000        1.0000e+15    5.26989069e-27     
   1.5000        2.0000e+15    3.30069581e-27     
