#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=14.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(14)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.92127774e-26     
   1.0000        2.0000e+14    4.50176231e-26     
   1.0000        5.0000e+14    5.27018303e-26     
   1.0000        1.0000e+15    5.76177397e-26     
   1.0000        2.0000e+15    6.14454464e-26     
   1.0000        5.0000e+15    6.49347337e-26     
   1.0000        1.0000e+16    6.66358205e-26     
   1.0000        2.0000e+16    6.77630522e-26     
   1.0000        5.0000e+16    6.86660974e-26     
   1.0000        1.0000e+17    6.90665037e-26     
   1.0000        2.0000e+17    6.93173440e-26     
   1.0000        5.0000e+17    6.95094230e-26     
   1.0000        1.0000e+18    6.95918813e-26     
   1.0000        2.0000e+18    6.96425798e-26     
   1.0000        5.0000e+18    6.96810289e-26     
   1.0000        1.0000e+19    6.96975063e-26     
   1.0000        2.0000e+19    6.97076077e-26     
   1.0000        5.0000e+19    6.97153341e-26     
   1.0000        1.0000e+20    6.97187729e-26     
   1.0000        2.0000e+20    6.97209434e-26     
   1.0000        5.0000e+20    6.97225692e-26     
   1.0000        1.0000e+21    6.97232700e-26     
   1.0000        2.0000e+21    6.97237657e-26     
   1.5000        1.0000e+14    2.17070150e-26     
   1.5000        2.0000e+14    2.42363684e-26     
   1.5000        5.0000e+14    2.74873237e-26     
   1.5000        1.0000e+15    2.95189007e-26     
   1.5000        2.0000e+15    3.10765426e-26     
   1.5000        5.0000e+15    3.24771143e-26     
   1.5000        1.0000e+16    3.31521690e-26     
   1.5000        2.0000e+16    3.35959315e-26     
   1.5000        5.0000e+16    3.39486151e-26     
   1.5000        1.0000e+17    3.41037889e-26     
   1.5000        2.0000e+17    3.42003706e-26     
   1.5000        5.0000e+17    3.42737745e-26     
   1.5000        1.0000e+18    3.43049968e-26     
   1.5000        2.0000e+18    3.43240342e-26     
   1.5000        5.0000e+18    3.43383194e-26     
   1.5000        1.0000e+19    3.43443359e-26     
   1.5000        2.0000e+19    3.43479756e-26     
   1.5000        5.0000e+19    3.43507278e-26     
   1.5000        1.0000e+20    3.43519157e-26     
   1.5000        2.0000e+20    3.43526347e-26     
   1.5000        5.0000e+20    3.43531573e-26     
   1.5000        1.0000e+21    3.43533841e-26     
   1.5000        2.0000e+21    3.43535428e-26     
   2.0000        1.0000e+14    1.41287985e-26     
   2.0000        2.0000e+14    1.55391864e-26     
   2.0000        5.0000e+14    1.73247413e-26     
   2.0000        1.0000e+15    1.84261799e-26     
   2.0000        2.0000e+15    1.92628443e-26     
   2.0000        5.0000e+15    2.00083789e-26     
   2.0000        1.0000e+16    2.03648052e-26     
   2.0000        2.0000e+16    2.05976972e-26     
   2.0000        5.0000e+16    2.07816509e-26     
   2.0000        1.0000e+17    2.08621077e-26     
   2.0000        2.0000e+17    2.09119489e-26     
   2.0000        5.0000e+17    2.09496352e-26     
   2.0000        1.0000e+18    2.09655722e-26     
   2.0000        2.0000e+18    2.09752445e-26     
   2.0000        5.0000e+18    2.09824564e-26     
   2.0000        1.0000e+19    2.09854657e-26     
   2.0000        2.0000e+19    2.09872759e-26     
   2.0000        5.0000e+19    2.09886342e-26     
   2.0000        1.0000e+20    2.09892088e-26     
   2.0000        2.0000e+20    2.09895493e-26     
   2.0000        5.0000e+20    2.09897946e-26     
   2.0000        1.0000e+21    2.09899012e-26     
   2.0000        2.0000e+21    2.09899738e-26     
   3.0000        1.0000e+14    7.75999699e-27     
   3.0000        2.0000e+14    8.39427758e-27     
   3.0000        5.0000e+14    9.18720748e-27     
   3.0000        1.0000e+15    9.67033509e-27     
   3.0000        2.0000e+15    1.00336346e-26     
   3.0000        5.0000e+15    1.03538084e-26     
   3.0000        1.0000e+16    1.05051962e-26     
   3.0000        2.0000e+16    1.06032358e-26     
   3.0000        5.0000e+16    1.06799336e-26     
