#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=8.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(8)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    8.14838171e-27     
   1.0000        2.0000e+14    8.41487810e-27     
   1.0000        5.0000e+14    8.96680144e-27     
   1.0000        1.0000e+15    9.66990992e-27     
   1.0000        2.0000e+15    1.08351172e-26     
   1.0000        5.0000e+15    1.34561136e-26     
   1.0000        1.0000e+16    1.62326161e-26     
   1.0000        2.0000e+16    1.92813788e-26     
   1.0000        5.0000e+16    2.29526796e-26     
   1.0000        1.0000e+17    2.51241457e-26     
   1.0000        2.0000e+17    2.67289007e-26     
   1.0000        5.0000e+17    2.81275539e-26     
   1.0000        1.0000e+18    2.87873177e-26     
   1.0000        2.0000e+18    2.92159720e-26     
   1.0000        5.0000e+18    2.95561439e-26     
   1.0000        1.0000e+19    2.97070708e-26     
   1.0000        2.0000e+19    2.98015134e-26     
   1.0000        5.0000e+19    2.98750475e-26     
   1.0000        1.0000e+20    2.99082683e-26     
   1.0000        2.0000e+20    2.99294222e-26     
   1.0000        5.0000e+20    2.99453676e-26     
   1.0000        1.0000e+21    2.99522773e-26     
   1.0000        2.0000e+21    2.99571886e-26     
   1.5000        1.0000e+14    5.09424568e-27     
   1.5000        2.0000e+14    5.21511764e-27     
   1.5000        5.0000e+14    5.46620123e-27     
   1.5000        1.0000e+15    5.78785863e-27     
   1.5000        2.0000e+15    6.31761097e-27     
   1.5000        5.0000e+15    7.46881440e-27     
   1.5000        1.0000e+16    8.63050230e-27     
   1.5000        2.0000e+16    9.85500373e-27     
   1.5000        5.0000e+16    1.12761731e-26     
   1.5000        1.0000e+17    1.20938178e-26     
   1.5000        2.0000e+17    1.26874451e-26     
   1.5000        5.0000e+17    1.31966871e-26     
   1.5000        1.0000e+18    1.34333156e-26     
   1.5000        2.0000e+18    1.35852935e-26     
   1.5000        5.0000e+18    1.37043392e-26     
   1.5000        1.0000e+19    1.37561357e-26     
   1.5000        2.0000e+19    1.37880864e-26     
   1.5000        5.0000e+19    1.38126698e-26     
   1.5000        1.0000e+20    1.38234312e-26     
   1.5000        2.0000e+20    1.38299963e-26     
   1.5000        5.0000e+20    1.38347973e-26     
   1.5000        1.0000e+21    1.38368928e-26     
   1.5000        2.0000e+21    1.38383672e-26     
   2.0000        1.0000e+14    3.58538563e-27     
   2.0000        2.0000e+14    3.65334678e-27     
   2.0000        5.0000e+14    3.79387125e-27     
   2.0000        1.0000e+15    3.97360726e-27     
   2.0000        2.0000e+15    4.26776598e-27     
   2.0000        5.0000e+15    4.89421910e-27     
   2.0000        1.0000e+16    5.51023089e-27     
   2.0000        2.0000e+16    6.14610188e-27     
