#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=8.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(8)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.41489731e-28     
   1.0000        2.0000e+14    3.37255913e-28     
   1.0000        5.0000e+14    3.28736910e-28     
   1.0000        1.0000e+15    3.18098570e-28     
   1.0000        2.0000e+15    3.00628052e-28     
   1.0000        5.0000e+15    2.61434650e-28     
   1.0000        1.0000e+16    2.19831275e-28     
   1.0000        2.0000e+16    1.73928135e-28     
   1.0000        5.0000e+16    1.18109865e-28     
   1.0000        1.0000e+17    8.45705251e-29     
   1.0000        2.0000e+17    5.92840360e-29     
   1.0000        5.0000e+17    3.65233681e-29     
   1.0000        1.0000e+18    2.52912518e-29     
   1.0000        2.0000e+18    1.76174129e-29     
   1.0000        5.0000e+18    1.10598726e-29     
   1.0000        1.0000e+19    7.86980406e-30     
   1.0000        2.0000e+19    5.67301196e-30     
   1.0000        5.0000e+19    3.69818961e-30     
   1.0000        1.0000e+20    2.65397066e-30     
   1.0000        2.0000e+20    1.91793644e-30     
   1.0000        5.0000e+20    1.31250907e-30     
   1.0000        1.0000e+21    1.02011373e-30     
   1.0000        2.0000e+21    7.84448816e-31     
   1.5000        1.0000e+14    2.68823097e-26     
   1.5000        2.0000e+14    2.65114491e-26     
   1.5000        5.0000e+14    2.57557035e-26     
