#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'ExcT1point5n2.dat'
#   Date of creation: 22. September 2021
#   Time of creation: 19:57:51
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: Fixed value 1.5000
#              T_n1: Fixed value 1.2000e+04
#              n_e: 6 given values between 5.0000e+18 and 2.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  n_e           POP_COEFF      
   5.0000e+18    7.36411560e-26     
   1.0000e+19    7.32063580e-26     
   2.0000e+19    7.25320242e-26     
   5.0000e+19    7.10431663e-26     
   1.0000e+20    6.91456465e-26     
   2.0000e+20    6.60097823e-26     
