#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=12.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(12)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    4.85383678e-28     
   1.0000        2.0000e+14    4.34996849e-28     
   1.0000        5.0000e+14    3.41978055e-28     
   1.0000        1.0000e+15    2.64411271e-28     
   1.0000        2.0000e+15    1.93303601e-28     
   1.0000        5.0000e+15    1.19683589e-28     
   1.0000        1.0000e+16    8.04780675e-29     
   1.0000        2.0000e+16    5.31351661e-29     
   1.0000        5.0000e+16    3.02580605e-29     
   1.0000        1.0000e+17    1.97162989e-29     
   1.0000        2.0000e+17    1.28975560e-29     
   1.0000        5.0000e+17    7.45779871e-30     
   1.0000        1.0000e+18    4.99821621e-30     
   1.0000        2.0000e+18    3.40140762e-30     
   1.0000        5.0000e+18    2.09217861e-30     
   1.0000        1.0000e+19    1.47408446e-30     
   1.0000        2.0000e+19    1.05558166e-30     
   1.0000        5.0000e+19    6.84481755e-31     
   1.0000        1.0000e+20    4.90102381e-31     
   1.0000        2.0000e+20    3.53698516e-31     
   1.0000        5.0000e+20    2.41799151e-31     
   1.0000        1.0000e+21    1.87850480e-31     
   1.0000        2.0000e+21    1.44417163e-31     
   1.5000        1.0000e+14    3.90689341e-26     
   1.5000        2.0000e+14    3.46578815e-26     
   1.5000        5.0000e+14    2.68191165e-26     
   1.5000        1.0000e+15    2.05018817e-26     
   1.5000        2.0000e+15    1.48409233e-26     
   1.5000        5.0000e+15    9.08863608e-27     
   1.5000        1.0000e+16    6.06691041e-27     
   1.5000        2.0000e+16    3.97713054e-27     
   1.5000        5.0000e+16    2.24164056e-27     
   1.5000        1.0000e+17    1.44717932e-27     
   1.5000        2.0000e+17    9.36023362e-28     
   1.5000        5.0000e+17    5.30762508e-28     
   1.5000        1.0000e+18    3.49012919e-28     
   1.5000        2.0000e+18    2.31898001e-28     
   1.5000        5.0000e+18    1.37005627e-28     
   1.5000        1.0000e+19    9.31186339e-29     
   1.5000        2.0000e+19    6.38350073e-29     
   1.5000        5.0000e+19    3.84506383e-29     
   1.5000        1.0000e+20    2.59187271e-29     
   1.5000        2.0000e+20    1.76714888e-29     
   1.5000        5.0000e+20    1.11610908e-29     
   1.5000        1.0000e+21    8.00146646e-30     
   1.5000        2.0000e+21    5.53299699e-30     
   2.0000        1.0000e+14    3.54139188e-25     
   2.0000        2.0000e+14    3.12605783e-25     
   2.0000        5.0000e+14    2.40123351e-25     
   2.0000        1.0000e+15    1.82619115e-25     
   2.0000        2.0000e+15    1.31610025e-25     
   2.0000        5.0000e+15    8.02007174e-26     
   2.0000        1.0000e+16    5.33534546e-26     
   2.0000        2.0000e+16    3.48529825e-26     
   2.0000        5.0000e+16    1.95389460e-26     
   2.0000        1.0000e+17    1.25500615e-26     
   2.0000        2.0000e+17    8.06555646e-27     
   2.0000        5.0000e+17    4.52264740e-27     
   2.0000        1.0000e+18    2.94164731e-27     
   2.0000        2.0000e+18    1.92777647e-27     
   2.0000        5.0000e+18    1.11337596e-27     
   2.0000        1.0000e+19    7.41480858e-28     
   2.0000        2.0000e+19    4.95594561e-28     
   2.0000        5.0000e+19    2.86530015e-28     
   2.0000        1.0000e+20    1.87240735e-28     
   2.0000        2.0000e+20    1.23967685e-28     
   2.0000        5.0000e+20    7.46805207e-29     
   2.0000        1.0000e+21    5.08458521e-29     
   2.0000        2.0000e+21    3.30118533e-29     
   3.0000        1.0000e+14    3.29253750e-24     
   3.0000        2.0000e+14    2.89623104e-24     
   3.0000        5.0000e+14    2.21346750e-24     
   3.0000        1.0000e+15    1.67758795e-24     
   3.0000        2.0000e+15    1.20539452e-24     
   3.0000        5.0000e+15    7.31932446e-25     
   3.0000        1.0000e+16    4.85559779e-25     
   3.0000        2.0000e+16    3.16160088e-25     
   3.0000        5.0000e+16    1.76250220e-25     
   3.0000        1.0000e+17    1.12562027e-25     
   3.0000        2.0000e+17    7.18061492e-26     
   3.0000        5.0000e+17    3.97412625e-26     
   3.0000        1.0000e+18    2.55206627e-26     
   3.0000        2.0000e+18    1.64601006e-26     
   3.0000        5.0000e+18    9.26713183e-27     
   3.0000        1.0000e+19    6.03217206e-27     
   3.0000        2.0000e+19    3.92000399e-27     
   3.0000        5.0000e+19    2.17256444e-27     
   3.0000        1.0000e+20    1.37814794e-27     
   3.0000        2.0000e+20    8.86216504e-28     
   3.0000        5.0000e+20    5.05977067e-28     
   3.0000        1.0000e+21    3.24709156e-28     
   3.0000        2.0000e+21    1.97340743e-28     
   4.0000        1.0000e+14    1.02426747e-23     
   4.0000        2.0000e+14    9.00917034e-24     
   4.0000        5.0000e+14    6.88527647e-24     
   4.0000        1.0000e+15    5.21854158e-24     
   4.0000        2.0000e+15    3.74952373e-24     
   4.0000        5.0000e+15    2.27583460e-24     
   4.0000        1.0000e+16    1.50860446e-24     
   4.0000        2.0000e+16    9.80958795e-25     
   4.0000        5.0000e+16    5.45234719e-25     
   4.0000        1.0000e+17    3.47045424e-25     
   4.0000        2.0000e+17    2.20390430e-25     
   4.0000        5.0000e+17    1.21001318e-25     
   4.0000        1.0000e+18    7.71017577e-26     
   4.0000        2.0000e+18    4.92606610e-26     
   4.0000        5.0000e+18    2.73321543e-26     
   4.0000        1.0000e+19    1.75638976e-26     
   4.0000        2.0000e+19    1.12430951e-26     
   4.0000        5.0000e+19    6.10490037e-27     
   4.0000        1.0000e+20    3.82158619e-27     
   4.0000        2.0000e+20    2.42371548e-27     
   4.0000        5.0000e+20    1.34452910e-27     
   4.0000        1.0000e+21    8.36344693e-28     
   4.0000        2.0000e+21    4.92232947e-28     
   7.0000        1.0000e+14    4.67079086e-23     
   7.0000        2.0000e+14    4.12838316e-23     
   7.0000        5.0000e+14    3.17855779e-23     
   7.0000        1.0000e+15    2.42163481e-23     
   7.0000        2.0000e+15    1.74719780e-23     
   7.0000        5.0000e+15    1.06409707e-23     
   7.0000        1.0000e+16    7.05883014e-24     
   7.0000        2.0000e+16    4.58518681e-24     
   7.0000        5.0000e+16    2.53736823e-24     
   7.0000        1.0000e+17    1.60565337e-24     
   7.0000        2.0000e+17    1.01134954e-24     
   7.0000        5.0000e+17    5.47229546e-25     
   7.0000        1.0000e+18    3.43892903e-25     
   7.0000        2.0000e+18    2.16198008e-25     
   7.0000        5.0000e+18    1.17134293e-25     
   7.0000        1.0000e+19    7.37990259e-26     
   7.0000        2.0000e+19    4.62719929e-26     
   7.0000        5.0000e+19    2.45351885e-26     
   7.0000        1.0000e+20    1.51539829e-26     
   7.0000        2.0000e+20    9.46530801e-27     
   7.0000        5.0000e+20    5.06395843e-27     
   7.0000        1.0000e+21    3.03130101e-27     
   7.0000        2.0000e+21    1.71941066e-27     
   10.0000       1.0000e+14    8.92225861e-23     
   10.0000       2.0000e+14    7.93234175e-23     
   10.0000       5.0000e+14    6.16202108e-23     
   10.0000       1.0000e+15    4.72417532e-23     
   10.0000       2.0000e+15    3.42604418e-23     
   10.0000       5.0000e+15    2.09628169e-23     
   10.0000       1.0000e+16    1.39308756e-23     
   10.0000       2.0000e+16    9.05150891e-24     
   10.0000       5.0000e+16    4.99882362e-24     
   10.0000       1.0000e+17    3.15258621e-24     
   10.0000       2.0000e+17    1.97582288e-24     
   10.0000       5.0000e+17    1.05953381e-24     
   10.0000       1.0000e+18    6.60243745e-25     
   10.0000       2.0000e+18    4.11170587e-25     
   10.0000       5.0000e+18    2.19797943e-25     
   10.0000       1.0000e+19    1.37065751e-25     
   10.0000       2.0000e+19    8.51601277e-26     
   10.0000       5.0000e+19    4.48024298e-26     
   10.0000       1.0000e+20    2.75868019e-26     
   10.0000       2.0000e+20    1.71626467e-26     
   10.0000       5.0000e+20    9.07335917e-27     
