#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=18.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(18)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.58312347e-28     
   1.0000        2.0000e+14    2.49018496e-28     
   1.0000        5.0000e+14    1.45923340e-28     
   1.0000        1.0000e+15    9.46129696e-29     
   1.0000        2.0000e+15    6.03121735e-29     
   1.0000        5.0000e+15    3.27226711e-29     
   1.0000        1.0000e+16    2.04786376e-29     
   1.0000        2.0000e+16    1.28071951e-29     
   1.0000        5.0000e+16    6.92236199e-30     
   1.0000        1.0000e+17    4.38275842e-30     
   1.0000        2.0000e+17    2.80465235e-30     
   1.0000        5.0000e+17    1.58763495e-30     
   1.0000        1.0000e+18    1.05179720e-30     
   1.0000        2.0000e+18    7.09644217e-31     
   1.0000        5.0000e+18    4.33086978e-31     
   1.0000        1.0000e+19    3.03941304e-31     
   1.0000        2.0000e+19    2.17060412e-31     
   1.0000        5.0000e+19    1.40437496e-31     
   1.0000        1.0000e+20    1.00458065e-31     
   1.0000        2.0000e+20    7.24550061e-32     
   1.0000        5.0000e+20    4.95088543e-32     
   1.0000        1.0000e+21    3.84546962e-32     
   1.0000        2.0000e+21    2.95598308e-32     
   1.5000        1.0000e+14    2.84131072e-26     
   1.5000        2.0000e+14    1.96401953e-26     
   1.5000        5.0000e+14    1.14447286e-26     
   1.5000        1.0000e+15    7.39458556e-27     
   1.5000        2.0000e+15    4.69870373e-27     
   1.5000        5.0000e+15    2.53839466e-27     
   1.5000        1.0000e+16    1.58275140e-27     
   1.5000        2.0000e+16    9.85460820e-28     
   1.5000        5.0000e+16    5.28554682e-28     
   1.5000        1.0000e+17    3.32016265e-28     
   1.5000        2.0000e+17    2.10293670e-28     
   1.5000        5.0000e+17    1.16850887e-28     
   1.5000        1.0000e+18    7.59907298e-29     
   1.5000        2.0000e+18    5.00747018e-29     
   1.5000        5.0000e+18    2.93596181e-29     
   1.5000        1.0000e+19    1.98771942e-29     
   1.5000        2.0000e+19    1.35890474e-29     
   1.5000        5.0000e+19    8.16672459e-30     
   1.5000        1.0000e+20    5.49945498e-30     
   1.5000        2.0000e+20    3.74711636e-30     
   1.5000        5.0000e+20    2.36535755e-30     
   1.5000        1.0000e+21    1.69532421e-30     
   1.5000        2.0000e+21    1.17213915e-30     
   2.0000        1.0000e+14    2.56669324e-25     
   2.0000        2.0000e+14    1.77094201e-25     
   2.0000        5.0000e+14    1.03009288e-25     
   2.0000        1.0000e+15    6.64813791e-26     
   2.0000        2.0000e+15    4.21986491e-26     
   2.0000        5.0000e+15    2.27601730e-26     
   2.0000        1.0000e+16    1.41688400e-26     
   2.0000        2.0000e+16    8.80302785e-27     
   2.0000        5.0000e+16    4.70242395e-27     
   2.0000        1.0000e+17    2.94101531e-27     
   2.0000        2.0000e+17    1.85195533e-27     
   2.0000        5.0000e+17    1.01814925e-27     
   2.0000        1.0000e+18    6.55107177e-28     
   2.0000        2.0000e+18    4.25852012e-28     
   2.0000        5.0000e+18    2.44111876e-28     
   2.0000        1.0000e+19    1.61943191e-28     
   2.0000        2.0000e+19    1.07944155e-28     
   2.0000        5.0000e+19    6.22661997e-29     
   2.0000        1.0000e+20    4.06477703e-29     
   2.0000        2.0000e+20    2.68937197e-29     
   2.0000        5.0000e+20    1.61919305e-29     
   2.0000        1.0000e+21    1.10212344e-29     
   2.0000        2.0000e+21    7.15441668e-30     
   3.0000        1.0000e+14    2.40029532e-24     
   3.0000        2.0000e+14    1.65604559e-24     
   3.0000        5.0000e+14    9.63376342e-25     
   3.0000        1.0000e+15    6.21788654e-25     
   3.0000        2.0000e+15    3.94621635e-25     
   3.0000        5.0000e+15    2.12682338e-25     
   3.0000        1.0000e+16    1.32237073e-25     
   3.0000        2.0000e+16    8.19894609e-26     
   3.0000        5.0000e+16    4.36037697e-26     
   3.0000        1.0000e+17    2.71337129e-26     
   3.0000        2.0000e+17    1.69687460e-26     
   3.0000        5.0000e+17    9.21227524e-27     
   3.0000        1.0000e+18    5.85363392e-27     
   3.0000        2.0000e+18    3.74554206e-27     
   3.0000        5.0000e+18    2.09320021e-27     
   3.0000        1.0000e+19    1.35722689e-27     
   3.0000        2.0000e+19    8.79559838e-28     
   3.0000        5.0000e+19    4.86347694e-28     
   3.0000        1.0000e+20    3.08181555e-28     
   3.0000        2.0000e+20    1.98031088e-28     
   3.0000        5.0000e+20    1.12991219e-28     
   3.0000        1.0000e+21    7.24899166e-29     
   3.0000        2.0000e+21    4.40474992e-29     
   4.0000        1.0000e+14    7.55093540e-24     
   4.0000        2.0000e+14    5.21796295e-24     
   4.0000        5.0000e+14    3.04090026e-24     
   4.0000        1.0000e+15    1.96475254e-24     
   4.0000        2.0000e+15    1.24786218e-24     
   4.0000        5.0000e+15    6.72778199e-25     
   4.0000        1.0000e+16    4.18167741e-25     
   4.0000        2.0000e+16    2.59016209e-25     
   4.0000        5.0000e+16    1.37396779e-25     
   4.0000        1.0000e+17    8.52329982e-26     
   4.0000        2.0000e+17    5.30724194e-26     
   4.0000        5.0000e+17    2.85878160e-26     
   4.0000        1.0000e+18    1.80259055e-26     
   4.0000        2.0000e+18    1.14260910e-26     
   4.0000        5.0000e+18    6.29288325e-27     
   4.0000        1.0000e+19    4.02802955e-27     
   4.0000        2.0000e+19    2.57121940e-27     
   4.0000        5.0000e+19    1.39284531e-27     
   4.0000        1.0000e+20    8.70928522e-28     
   4.0000        2.0000e+20    5.51923967e-28     
   4.0000        5.0000e+20    3.05958396e-28     
   4.0000        1.0000e+21    1.90254508e-28     
   4.0000        2.0000e+21    1.11952891e-28     
   7.0000        1.0000e+14    3.56782796e-23     
   7.0000        2.0000e+14    2.48146531e-23     
   7.0000        5.0000e+14    1.45625502e-23     
   7.0000        1.0000e+15    9.44772892e-24     
   7.0000        2.0000e+15    6.01896750e-24     
   7.0000        5.0000e+15    3.25263755e-24     
   7.0000        1.0000e+16    2.02216323e-24     
   7.0000        2.0000e+16    1.25090509e-24     
   7.0000        5.0000e+16    6.60561449e-25     
   7.0000        1.0000e+17    4.07388461e-25     
   7.0000        2.0000e+17    2.51606074e-25     
   7.0000        5.0000e+17    1.33567867e-25     
   7.0000        1.0000e+18    8.30566712e-26     
   7.0000        2.0000e+18    5.17993310e-26     
   7.0000        5.0000e+18    2.78513616e-26     
   7.0000        1.0000e+19    1.74754411e-26     
   7.0000        2.0000e+19    1.09244068e-26     
   7.0000        5.0000e+19    5.77750707e-27     
   7.0000        1.0000e+20    3.56382481e-27     
   7.0000        2.0000e+20    2.22387948e-27     
   7.0000        5.0000e+20    1.18875051e-27     
   7.0000        1.0000e+21    7.11305628e-28     
   7.0000        2.0000e+21    4.03371152e-28     
   10.0000       1.0000e+14    7.02318180e-23     
   10.0000       2.0000e+14    4.91440696e-23     
   10.0000       5.0000e+14    2.90277089e-23     
   10.0000       1.0000e+15    1.89042439e-23     
   10.0000       2.0000e+15    1.20786776e-23     
   10.0000       5.0000e+15    6.54312230e-24     
   10.0000       1.0000e+16    4.07049559e-24     
   10.0000       2.0000e+16    2.51673995e-24     
   10.0000       5.0000e+16    1.32548886e-24     
   10.0000       1.0000e+17    8.14476667e-25     
   10.0000       2.0000e+17    5.00422566e-25     
   10.0000       5.0000e+17    2.63225103e-25     
   10.0000       1.0000e+18    1.62282178e-25     
   10.0000       2.0000e+18    1.00239580e-25     
   10.0000       5.0000e+18    5.31652370e-26     
   10.0000       1.0000e+19    3.30115404e-26     
   10.0000       2.0000e+19    2.04452910e-26     
   10.0000       5.0000e+19    1.07257314e-26     
   10.0000       1.0000e+20    6.59464949e-27     
   10.0000       2.0000e+20    4.09823242e-27     
   10.0000       5.0000e+20    2.16442752e-27     
   10.0000       1.0000e+21    1.27858893e-27     
   10.0000       2.0000e+21    7.16559544e-28     
   15.0000       1.0000e+14    1.24689840e-22     
   15.0000       2.0000e+14    8.79815692e-23     
   15.0000       5.0000e+14    5.24311264e-23     
   15.0000       1.0000e+15    3.43249660e-23     
   15.0000       2.0000e+15    2.20206714e-23     
   15.0000       5.0000e+15    1.19712521e-23     
   15.0000       1.0000e+16    7.45664293e-24     
   15.0000       2.0000e+16    4.60983910e-24     
   15.0000       5.0000e+16    2.42192134e-24     
   15.0000       1.0000e+17    1.48265157e-24     
   15.0000       2.0000e+17    9.06020073e-25     
   15.0000       5.0000e+17    4.71961767e-25     
   15.0000       1.0000e+18    2.88336567e-25     
   15.0000       2.0000e+18    1.76315332e-25     
   15.0000       5.0000e+18    9.22026306e-26     
   15.0000       1.0000e+19    5.66599234e-26     
   15.0000       2.0000e+19    3.48044059e-26     
   15.0000       5.0000e+19    1.81593437e-26     
   15.0000       1.0000e+20    1.11531256e-26     
   15.0000       2.0000e+20    6.92103097e-27     
   15.0000       5.0000e+20    3.63217949e-27     
   15.0000       1.0000e+21    2.13020086e-27     
   15.0000       2.0000e+21    1.18594595e-27     
   20.0000       1.0000e+14    1.70315563e-22     
   20.0000       2.0000e+14    1.20980018e-22     
   20.0000       5.0000e+14    7.26087864e-23     
   20.0000       1.0000e+15    4.77341689e-23     
   20.0000       2.0000e+15    3.07238323e-23     
   20.0000       5.0000e+15    1.67530233e-23     
   20.0000       1.0000e+16    1.04482756e-23     
   20.0000       2.0000e+16    6.46145139e-24     
   20.0000       5.0000e+16    3.39095920e-24     
   20.0000       1.0000e+17    2.07154848e-24     
   20.0000       2.0000e+17    1.26183745e-24     
   20.0000       5.0000e+17    6.53453038e-25     
   20.0000       1.0000e+18    3.96982281e-25     
   20.0000       2.0000e+18    2.41241306e-25     
   20.0000       5.0000e+18    1.25051989e-25     
   20.0000       1.0000e+19    7.63563215e-26     
   20.0000       2.0000e+19    4.66811871e-26     
   20.0000       5.0000e+19    2.42937665e-26     
   20.0000       1.0000e+20    1.49201782e-26     
   20.0000       2.0000e+20    9.25946685e-27     
   20.0000       5.0000e+20    4.85325614e-27     
   20.0000       1.0000e+21    2.84123725e-27     
   20.0000       2.0000e+21    1.57909420e-27     
   30.0000       1.0000e+14    2.38697745e-22     
   30.0000       2.0000e+14    1.71208254e-22     
   30.0000       5.0000e+14    1.03784237e-22     
   30.0000       1.0000e+15    6.86188073e-23     
   30.0000       2.0000e+15    4.43607835e-23     
   30.0000       5.0000e+15    2.42910744e-23     
   30.0000       1.0000e+16    1.51824558e-23     
   30.0000       2.0000e+16    9.40193430e-24     
   30.0000       5.0000e+16    4.93582944e-24     
   30.0000       1.0000e+17    3.01179542e-24     
   30.0000       2.0000e+17    1.82969713e-24     
   30.0000       5.0000e+17    9.42060989e-25     
   30.0000       1.0000e+18    5.68907733e-25     
   30.0000       2.0000e+18    3.43319674e-25     
   30.0000       5.0000e+18    1.76123835e-25     
   30.0000       1.0000e+19    1.06678462e-25     
   30.0000       2.0000e+19    6.48236349e-26     
   30.0000       5.0000e+19    3.36230884e-26     
   30.0000       1.0000e+20    2.06461596e-26     
   30.0000       2.0000e+20    1.28201002e-26     
   30.0000       5.0000e+20    6.72619762e-27     
