#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.05009112e-28     
   1.0000        2.0000e+14    3.03660845e-28     
   1.0000        5.0000e+14    3.01267981e-28     
   1.0000        1.0000e+15    2.98773241e-28     
   1.0000        2.0000e+15    2.95340094e-28     
   1.0000        5.0000e+15    2.88248819e-28     
   1.0000        1.0000e+16    2.79243424e-28     
   1.0000        2.0000e+16    2.64473571e-28     
   1.0000        5.0000e+16    2.31558785e-28     
   1.0000        1.0000e+17    1.96565432e-28     
   1.0000        2.0000e+17    1.57833987e-28     
   1.0000        5.0000e+17    1.10468947e-28     
   1.0000        1.0000e+18    8.16232781e-29     
   1.0000        2.0000e+18    5.94788850e-29     
   1.0000        5.0000e+18    3.87910482e-29     
   1.0000        1.0000e+19    2.80981861e-29     
   1.0000        2.0000e+19    2.04918339e-29     
   1.0000        5.0000e+19    1.34802943e-29     
   1.0000        1.0000e+20    9.71061574e-30     
   1.0000        2.0000e+20    7.03315861e-30     
   1.0000        5.0000e+20    4.82085618e-30     
   1.0000        1.0000e+21    3.74938143e-30     
   1.0000        2.0000e+21    2.88430083e-30     
   1.5000        1.0000e+14    2.27565240e-26     
   1.5000        2.0000e+14    2.26401510e-26     
   1.5000        5.0000e+14    2.24329413e-26     
   1.5000        1.0000e+15    2.22157802e-26     
   1.5000        2.0000e+15    2.19148427e-26     
   1.5000        5.0000e+15    2.12864818e-26     
   1.5000        1.0000e+16    2.04830958e-26     
   1.5000        2.0000e+16    1.91782765e-26     
   1.5000        5.0000e+16    1.63891100e-26     
   1.5000        1.0000e+17    1.35946959e-26     
   1.5000        2.0000e+17    1.06561941e-26     
   1.5000        5.0000e+17    7.22135879e-27     
   1.5000        1.0000e+18    5.20210205e-27     
   1.5000        2.0000e+18    3.68597282e-27     
   1.5000        5.0000e+18    2.30192520e-27     
   1.5000        1.0000e+19    1.60692563e-27     
   1.5000        2.0000e+19    1.12152273e-27     
   1.5000        5.0000e+19    6.85243510e-28     
   1.5000        1.0000e+20    4.64707305e-28     
   1.5000        2.0000e+20    3.18004496e-28     
   1.5000        5.0000e+20    2.01415530e-28     
   1.5000        1.0000e+21    1.44571339e-28     
   1.5000        2.0000e+21    1.00041478e-28     
   2.0000        1.0000e+14    1.97868922e-25     
   2.0000        2.0000e+14    1.96776940e-25     
   2.0000        5.0000e+14    1.94828071e-25     
   2.0000        1.0000e+15    1.92778950e-25     
   2.0000        2.0000e+15    1.89927776e-25     
   2.0000        5.0000e+15    1.83939014e-25     
   2.0000        1.0000e+16    1.76260490e-25     
   2.0000        2.0000e+16    1.63879927e-25     
   2.0000        5.0000e+16    1.38069767e-25     
   2.0000        1.0000e+17    1.13052430e-25     
   2.0000        2.0000e+17    8.74434167e-26     
   2.0000        5.0000e+17    5.82071125e-26     
   2.0000        1.0000e+18    4.13408679e-26     
   2.0000        2.0000e+18    2.88302933e-26     
   2.0000        5.0000e+18    1.75743119e-26     
   2.0000        1.0000e+19    1.20159959e-26     
