#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=17.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(17)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.99831519e-28     
   1.0000        2.0000e+14    2.85324760e-28     
   1.0000        5.0000e+14    1.71568676e-28     
   1.0000        1.0000e+15    1.12813797e-28     
   1.0000        2.0000e+15    7.26778264e-29     
   1.0000        5.0000e+15    3.98322329e-29     
   1.0000        1.0000e+16    2.50671193e-29     
   1.0000        2.0000e+16    1.57441455e-29     
   1.0000        5.0000e+16    8.54591194e-30     
   1.0000        1.0000e+17    5.42367455e-30     
   1.0000        2.0000e+17    3.47727654e-30     
   1.0000        5.0000e+17    1.97203698e-30     
   1.0000        1.0000e+18    1.30780307e-30     
   1.0000        2.0000e+18    8.83053503e-31     
   1.0000        5.0000e+18    5.39301487e-31     
   1.0000        1.0000e+19    3.78619943e-31     
   1.0000        2.0000e+19    2.70460373e-31     
   1.0000        5.0000e+19    1.75023514e-31     
   1.0000        1.0000e+20    1.25209675e-31     
   1.0000        2.0000e+20    9.03121843e-32     
   1.0000        5.0000e+20    6.17135608e-32     
   1.0000        1.0000e+21    4.79353478e-32     
   1.0000        2.0000e+21    3.68479780e-32     
   1.5000        1.0000e+14    3.17222961e-26     
   1.5000        2.0000e+14    2.24907490e-26     
   1.5000        5.0000e+14    1.34329335e-26     
   1.5000        1.0000e+15    8.79636988e-27     
   1.5000        2.0000e+15    5.64611509e-27     
   1.5000        5.0000e+15    3.07985081e-27     
   1.5000        1.0000e+16    1.93062735e-27     
   1.5000        2.0000e+16    1.20700512e-27     
   1.5000        5.0000e+16    6.50013519e-28     
   1.5000        1.0000e+17    4.09251691e-28     
   1.5000        2.0000e+17    2.59679541e-28     
   1.5000        5.0000e+17    1.44549002e-28     
   1.5000        1.0000e+18    9.40964160e-29     
   1.5000        2.0000e+18    6.20520299e-29     
   1.5000        5.0000e+18    3.64074920e-29     
   1.5000        1.0000e+19    2.46576690e-29     
   1.5000        2.0000e+19    1.68615171e-29     
   1.5000        5.0000e+19    1.01355663e-29     
   1.5000        1.0000e+20    6.82592045e-30     
   1.5000        2.0000e+20    4.65120713e-30     
   1.5000        5.0000e+20    2.93621540e-30     
   1.5000        1.0000e+21    2.10452611e-30     
   1.5000        2.0000e+21    1.45508058e-30     
   2.0000        1.0000e+14    2.86415064e-25     
   2.0000        2.0000e+14    2.02585008e-25     
   2.0000        5.0000e+14    1.20712422e-25     
   2.0000        1.0000e+15    7.89353599e-26     
   2.0000        2.0000e+15    5.06006956e-26     
   2.0000        5.0000e+15    2.75512702e-26     
   2.0000        1.0000e+16    1.72411241e-26     
   2.0000        2.0000e+16    1.07549494e-26     
   2.0000        5.0000e+16    5.76794686e-27     
   2.0000        1.0000e+17    3.61553242e-27     
   2.0000        2.0000e+17    2.28069625e-27     
   2.0000        5.0000e+17    1.25603475e-27     
   2.0000        1.0000e+18    8.08951527e-28     
   2.0000        2.0000e+18    5.26244440e-28     
   2.0000        5.0000e+18    3.01867235e-28     
   2.0000        1.0000e+19    2.00329881e-28     
   2.0000        2.0000e+19    1.33565163e-28     
   2.0000        5.0000e+19    7.70618609e-29     
   2.0000        1.0000e+20    5.03113694e-29     
   2.0000        2.0000e+20    3.32895917e-29     
   2.0000        5.0000e+20    2.00438250e-29     
   2.0000        1.0000e+21    1.36434320e-29     
   2.0000        2.0000e+21    8.85675325e-30     
   3.0000        1.0000e+14    2.67341310e-24     
   3.0000        2.0000e+14    1.89007821e-24     
   3.0000        5.0000e+14    1.12591303e-24     
   3.0000        1.0000e+15    7.36130584e-25     
   3.0000        2.0000e+15    4.71747063e-25     
   3.0000        5.0000e+15    2.56624981e-25     
   3.0000        1.0000e+16    1.60378410e-25     
   3.0000        2.0000e+16    9.98304094e-26     
   3.0000        5.0000e+16    5.32987202e-26     
   3.0000        1.0000e+17    3.32396075e-26     
   3.0000        2.0000e+17    2.08228772e-26     
   3.0000        5.0000e+17    1.13238362e-26     
   3.0000        1.0000e+18    7.20216725e-27     
   3.0000        2.0000e+18    4.61174238e-27     
   3.0000        5.0000e+18    2.57902776e-27     
   3.0000        1.0000e+19    1.67283815e-27     
   3.0000        2.0000e+19    1.08437323e-27     
   3.0000        5.0000e+19    5.99728474e-28     
   3.0000        1.0000e+20    3.80065473e-28     
   3.0000        2.0000e+20    2.44239316e-28     
   3.0000        5.0000e+20    1.39365095e-28     
   3.0000        1.0000e+21    8.94128006e-29     
   3.0000        2.0000e+21    5.43314197e-29     
   4.0000        1.0000e+14    8.39279478e-24     
   4.0000        2.0000e+14    5.94277963e-24     
   4.0000        5.0000e+14    3.54630908e-24     
   4.0000        1.0000e+15    2.32101495e-24     
   4.0000        2.0000e+15    1.48849044e-24     
   4.0000        5.0000e+15    8.09991847e-25     
   4.0000        1.0000e+16    5.06029853e-25     
   4.0000        2.0000e+16    3.14670448e-25     
   4.0000        5.0000e+16    1.67564493e-25     
   4.0000        1.0000e+17    1.04173950e-25     
   4.0000        2.0000e+17    6.49767041e-26     
   4.0000        5.0000e+17    3.50589268e-26     
   4.0000        1.0000e+18    2.21269998e-26     
   4.0000        2.0000e+18    1.40357032e-26     
   4.0000        5.0000e+18    7.73537279e-27     
   4.0000        1.0000e+19    4.95315451e-27     
   4.0000        2.0000e+19    3.16258264e-27     
   4.0000        5.0000e+19    1.71357132e-27     
   4.0000        1.0000e+20    1.07158789e-27     
   4.0000        2.0000e+20    6.79136660e-28     
   4.0000        5.0000e+20    3.76504162e-28     
   4.0000        1.0000e+21    2.34129532e-28     
   4.0000        2.0000e+21    1.37773227e-28     
   7.0000        1.0000e+14    3.94426020e-23     
   7.0000        2.0000e+14    2.81202131e-23     
   7.0000        5.0000e+14    1.69054610e-23     
   7.0000        1.0000e+15    1.11127594e-23     
