#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=19.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(19)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    3.17716872e-28     
   1.0000        2.0000e+14    2.16150845e-28     
   1.0000        5.0000e+14    1.24095000e-28     
   1.0000        1.0000e+15    7.95721620e-29     
   1.0000        2.0000e+15    5.03023338e-29     
   1.0000        5.0000e+15    2.70735510e-29     
   1.0000        1.0000e+16    1.68680779e-29     
   1.0000        2.0000e+16    1.05129008e-29     
   1.0000        5.0000e+16    5.66286198e-30     
   1.0000        1.0000e+17    3.57834251e-30     
   1.0000        2.0000e+17    2.28638099e-30     
   1.0000        5.0000e+17    1.29229242e-30     
   1.0000        1.0000e+18    8.55411833e-31     
   1.0000        2.0000e+18    5.76775513e-31     
   1.0000        5.0000e+18    3.51791199e-31     
   1.0000        1.0000e+19    2.46813763e-31     
   1.0000        2.0000e+19    1.76225894e-31     
   1.0000        5.0000e+19    1.13998006e-31     
   1.0000        1.0000e+20    8.15391089e-32     
   1.0000        2.0000e+20    5.88069789e-32     
   1.0000        5.0000e+20    4.01815674e-32     
   1.0000        1.0000e+21    3.12094467e-32     
   1.0000        2.0000e+21    2.39902223e-32     
   1.5000        1.0000e+14    2.51959629e-26     
   1.5000        2.0000e+14    1.70645887e-26     
   1.5000        5.0000e+14    9.75094344e-27     
   1.5000        1.0000e+15    6.23367609e-27     
   1.5000        2.0000e+15    3.92947739e-27     
   1.5000        5.0000e+15    2.10655586e-27     
   1.5000        1.0000e+16    1.30789369e-27     
   1.5000        2.0000e+16    8.11638678e-28     
   1.5000        5.0000e+16    4.33895969e-28     
   1.5000        1.0000e+17    2.72045602e-28     
   1.5000        2.0000e+17    1.72056209e-28     
   1.5000        5.0000e+17    9.54646787e-29     
   1.5000        1.0000e+18    6.20322615e-29     
   1.5000        2.0000e+18    4.08513975e-29     
   1.5000        5.0000e+18    2.39380346e-29     
   1.5000        1.0000e+19    1.62018054e-29     
   1.5000        2.0000e+19    1.10740250e-29     
   1.5000        5.0000e+19    6.65407341e-30     
   1.5000        1.0000e+20    4.48048318e-30     
   1.5000        2.0000e+20    3.05267072e-30     
   1.5000        5.0000e+20    1.92690688e-30     
   1.5000        1.0000e+21    1.38104546e-30     
   1.5000        2.0000e+21    9.54836703e-31     
   2.0000        1.0000e+14    2.27782442e-25     
   2.0000        2.0000e+14    1.54053120e-25     
   2.0000        5.0000e+14    8.79045797e-26     
   2.0000        1.0000e+15    5.61461563e-26     
   2.0000        2.0000e+15    3.53603080e-26     
   2.0000        5.0000e+15    1.89285778e-26     
   2.0000        1.0000e+16    1.17343869e-26     
   2.0000        2.0000e+16    7.26694060e-27     
   2.0000        5.0000e+16    3.86940568e-27     
   2.0000        1.0000e+17    2.41559764e-27     
   2.0000        2.0000e+17    1.51891762e-27     
   2.0000        5.0000e+17    8.33866058e-28     
   2.0000        1.0000e+18    5.36106512e-28     
   2.0000        2.0000e+18    3.48284524e-28     
   2.0000        5.0000e+18    1.99534272e-28     
   2.0000        1.0000e+19    1.32331110e-28     
   2.0000        2.0000e+19    8.81873366e-29     
   2.0000        5.0000e+19    5.08606755e-29     
   2.0000        1.0000e+20    3.31994827e-29     
   2.0000        2.0000e+20    2.19645337e-29     
   2.0000        5.0000e+20    1.32235912e-29     
   2.0000        1.0000e+21    9.00060056e-30     
   2.0000        2.0000e+21    5.84264761e-30     
   3.0000        1.0000e+14    2.13440923e-24     
   3.0000        2.0000e+14    1.44388571e-24     
   3.0000        5.0000e+14    8.24227260e-25     
   3.0000        1.0000e+15    5.26555426e-25     
   3.0000        2.0000e+15    3.31611386e-25     
   3.0000        5.0000e+15    1.77400432e-25     
   3.0000        1.0000e+16    1.09847386e-25     
   3.0000        2.0000e+16    6.78910815e-26     
   3.0000        5.0000e+16    3.59922343e-26     
   3.0000        1.0000e+17    2.23571129e-26     
   3.0000        2.0000e+17    1.39619671e-26     
   3.0000        5.0000e+17    7.56935637e-27     
   3.0000        1.0000e+18    4.80594356e-27     
   3.0000        2.0000e+18    3.07333087e-27     
   3.0000        5.0000e+18    1.71656870e-27     
   3.0000        1.0000e+19    1.11268768e-27     
   3.0000        2.0000e+19    7.20930264e-28     
   3.0000        5.0000e+19    3.98562321e-28     
   3.0000        1.0000e+20    2.52533750e-28     
   3.0000        2.0000e+20    1.62263487e-28     
   3.0000        5.0000e+20    9.25783638e-29     
   3.0000        1.0000e+21    5.93925185e-29     
   3.0000        2.0000e+21    3.60885115e-29     
   4.0000        1.0000e+14    6.72776632e-24     
   4.0000        2.0000e+14    4.55851324e-24     
   4.0000        5.0000e+14    2.60684505e-24     
   4.0000        1.0000e+15    1.66713767e-24     
   4.0000        2.0000e+15    1.05070107e-24     
   4.0000        5.0000e+15    5.62294680e-25     
   4.0000        1.0000e+16    3.48065593e-25     
   4.0000        2.0000e+16    2.14912585e-25     
   4.0000        5.0000e+16    1.13644946e-25     
   4.0000        1.0000e+17    7.03735174e-26     
   4.0000        2.0000e+17    4.37588781e-26     
   4.0000        5.0000e+17    2.35385063e-26     
   4.0000        1.0000e+18    1.48305959e-26     
   4.0000        2.0000e+18    9.39511356e-27     
   4.0000        5.0000e+18    5.17141754e-27     
   4.0000        1.0000e+19    3.30919047e-27     
   4.0000        2.0000e+19    2.11190298e-27     
   4.0000        5.0000e+19    1.14381932e-27     
   4.0000        1.0000e+20    7.15152693e-28     
   4.0000        2.0000e+20    4.53177480e-28     
   4.0000        5.0000e+20    2.51204172e-28     
   4.0000        1.0000e+21    1.56202463e-28     
   4.0000        2.0000e+21    9.19139286e-29     
