#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=13.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(13)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    4.99832068e-28     
   1.0000        2.0000e+14    4.24562281e-28     
   1.0000        5.0000e+14    3.09282356e-28     
   1.0000        1.0000e+15    2.27261693e-28     
   1.0000        2.0000e+15    1.59414040e-28     
   1.0000        5.0000e+15    9.47767830e-29     
   1.0000        1.0000e+16    6.23395997e-29     
   1.0000        2.0000e+16    4.04854209e-29     
   1.0000        5.0000e+16    2.26967285e-29     
   1.0000        1.0000e+17    1.46644997e-29     
   1.0000        2.0000e+17    9.53184294e-30     
   1.0000        5.0000e+17    5.47825184e-30     
   1.0000        1.0000e+18    3.65957986e-30     
   1.0000        2.0000e+18    2.48446776e-30     
   1.0000        5.0000e+18    1.52487062e-30     
   1.0000        1.0000e+19    1.07321988e-30     
   1.0000        2.0000e+19    7.67958062e-31     
   1.0000        5.0000e+19    4.97674984e-31     
   1.0000        1.0000e+20    3.56251718e-31     
   1.0000        2.0000e+20    2.57059238e-31     
   1.0000        5.0000e+20    1.75711423e-31     
   1.0000        1.0000e+21    1.36500319e-31     
   1.0000        2.0000e+21    1.04936382e-31     
   1.5000        1.0000e+14    4.00988263e-26     
   1.5000        2.0000e+14    3.36838987e-26     
   1.5000        5.0000e+14    2.41874518e-26     
   1.5000        1.0000e+15    1.76080372e-26     
   1.5000        2.0000e+15    1.22545824e-26     
   1.5000        5.0000e+15    7.22206669e-27     
   1.5000        1.0000e+16    4.72146597e-27     
   1.5000        2.0000e+16    3.04721197e-27     
   1.5000        5.0000e+16    1.69227655e-27     
   1.5000        1.0000e+17    1.08378233e-27     
   1.5000        2.0000e+17    6.96749967e-28     
   1.5000        5.0000e+17    3.92810616e-28     
   1.5000        1.0000e+18    2.57497665e-28     
   1.5000        2.0000e+18    1.70698145e-28     
   1.5000        5.0000e+18    1.00637361e-28     
   1.5000        1.0000e+19    6.83274670e-29     
   1.5000        2.0000e+19    4.68053403e-29     
   1.5000        5.0000e+19    2.81756807e-29     
   1.5000        1.0000e+20    1.89874784e-29     
   1.5000        2.0000e+20    1.29435099e-29     
   1.5000        5.0000e+20    8.17380626e-30     
   1.5000        1.0000e+21    5.85948640e-30     
   1.5000        2.0000e+21    4.05166723e-30     
   2.0000        1.0000e+14    3.62985126e-25     
   2.0000        2.0000e+14    3.03371451e-25     
   2.0000        5.0000e+14    2.16462865e-25     
   2.0000        1.0000e+15    1.56948480e-25     
   2.0000        2.0000e+15    1.08863471e-25     
   2.0000        5.0000e+15    6.39116507e-26     
   2.0000        1.0000e+16    4.16657081e-26     
   2.0000        2.0000e+16    2.68089697e-26     
   2.0000        5.0000e+16    1.48150301e-26     
   2.0000        1.0000e+17    9.44197760e-27     
   2.0000        2.0000e+17    6.03249919e-27     
   2.0000        5.0000e+17    3.36370593e-27     
   2.0000        1.0000e+18    2.18121749e-27     
   2.0000        2.0000e+18    1.42622432e-27     
   2.0000        5.0000e+18    8.22011553e-28     
   2.0000        1.0000e+19    5.46860883e-28     
   2.0000        2.0000e+19    3.65242253e-28     
   2.0000        5.0000e+19    2.11036702e-28     
   2.0000        1.0000e+20    1.37869811e-28     
   2.0000        2.0000e+20    9.12640311e-29     
   2.0000        5.0000e+20    5.49709144e-29     
   2.0000        1.0000e+21    3.74240689e-29     
   2.0000        2.0000e+21    2.42966979e-29     
   3.0000        1.0000e+14    3.37483463e-24     
   3.0000        2.0000e+14    2.81159453e-24     
   3.0000        5.0000e+14    1.99848266e-24     
   3.0000        1.0000e+15    1.44560478e-24     
   3.0000        2.0000e+15    1.00068457e-24     
   3.0000        5.0000e+15    5.85971502e-25     
   3.0000        1.0000e+16    3.81152539e-25     
   3.0000        2.0000e+16    2.44548365e-25     
   3.0000        5.0000e+16    1.34436770e-25     
   3.0000        1.0000e+17    8.52095427e-26     
   3.0000        2.0000e+17    5.40471463e-26     
   3.0000        5.0000e+17    2.97494159e-26     
   3.0000        1.0000e+18    1.90476753e-26     
   3.0000        2.0000e+18    1.22581360e-26     
   3.0000        5.0000e+18    6.88735772e-27     
   3.0000        1.0000e+19    4.47838111e-27     
   3.0000        2.0000e+19    2.90809495e-27     
   3.0000        5.0000e+19    1.61073507e-27     
   3.0000        1.0000e+20    1.02146514e-27     
   3.0000        2.0000e+20    6.56725188e-28     
   3.0000        5.0000e+20    3.74887982e-28     
   3.0000        1.0000e+21    2.40564340e-28     
   3.0000        2.0000e+21    1.46195207e-28     
   4.0000        1.0000e+14    1.05132687e-23     
   4.0000        2.0000e+14    8.76224494e-24     
   4.0000        5.0000e+14    6.23233327e-24     
   4.0000        1.0000e+15    4.51025964e-24     
   4.0000        2.0000e+15    3.12303994e-24     
   4.0000        5.0000e+15    1.82859854e-24     
   4.0000        1.0000e+16    1.18871900e-24     
   4.0000        2.0000e+16    7.61753099e-25     
   4.0000        5.0000e+16    4.17575715e-25     
   4.0000        1.0000e+17    2.63802200e-25     
   4.0000        2.0000e+17    1.66580466e-25     
   4.0000        5.0000e+17    9.09637765e-26     
   4.0000        1.0000e+18    5.77915760e-26     
   4.0000        2.0000e+18    3.68422431e-26     
   4.0000        5.0000e+18    2.04001220e-26     
   4.0000        1.0000e+19    1.30952708e-26     
   4.0000        2.0000e+19    8.37623127e-27     
   4.0000        5.0000e+19    4.54531235e-27     
   4.0000        1.0000e+20    2.84445407e-27     
   4.0000        2.0000e+20    1.80362570e-27     
   4.0000        5.0000e+20    1.00035624e-27     
   4.0000        1.0000e+21    6.22203603e-28     
   4.0000        2.0000e+21    3.66180927e-28     
   7.0000        1.0000e+14    4.82045072e-23     
   7.0000        2.0000e+14    4.04301427e-23     
   7.0000        5.0000e+14    2.89950867e-23     
   7.0000        1.0000e+15    2.10947117e-23     
   7.0000        2.0000e+15    1.46662997e-23     
   7.0000        5.0000e+15    8.61516307e-24     
   7.0000        1.0000e+16    5.60400031e-24     
   7.0000        2.0000e+16    3.58719599e-24     
   7.0000        5.0000e+16    1.95773351e-24     
   7.0000        1.0000e+17    1.22958356e-24     
   7.0000        2.0000e+17    7.70094854e-25     
   7.0000        5.0000e+17    4.14431154e-25     
   7.0000        1.0000e+18    2.59667191e-25     
   7.0000        2.0000e+18    1.62882829e-25     
   7.0000        5.0000e+18    8.80627907e-26     
   7.0000        1.0000e+19    5.54203493e-26     
   7.0000        2.0000e+19    3.47202303e-26     
   7.0000        5.0000e+19    1.83970198e-26     
   7.0000        1.0000e+20    1.13588272e-26     
   7.0000        2.0000e+20    7.09301319e-27     
   7.0000        5.0000e+20    3.79390047e-27     
   7.0000        1.0000e+21    2.27079942e-27     
   7.0000        2.0000e+21    1.28795966e-27     
   10.0000       1.0000e+14    9.25327150e-23     
   10.0000       2.0000e+14    7.81615717e-23     
   10.0000       5.0000e+14    5.65763497e-23     
   10.0000       1.0000e+15    4.14061957e-23     
   10.0000       2.0000e+15    2.89227617e-23     
   10.0000       5.0000e+15    1.70589328e-23     
   10.0000       1.0000e+16    1.11127822e-23     
   10.0000       2.0000e+16    7.11371991e-24     
   10.0000       5.0000e+16    3.87372055e-24     
   10.0000       1.0000e+17    2.42449314e-24     
   10.0000       2.0000e+17    1.51080230e-24     
   10.0000       5.0000e+17    8.05715549e-25     
   10.0000       1.0000e+18    5.00563838e-25     
   10.0000       2.0000e+18    3.11016625e-25     
   10.0000       5.0000e+18    1.65896673e-25     
   10.0000       1.0000e+19    1.03330467e-25     
   10.0000       2.0000e+19    6.41441983e-26     
   10.0000       5.0000e+19    3.37199280e-26     
   10.0000       1.0000e+20    2.07545898e-26     
   10.0000       2.0000e+20    1.29082673e-26     
   10.0000       5.0000e+20    6.82235137e-27     
   10.0000       1.0000e+21    4.03151700e-27     
   10.0000       2.0000e+21    2.25982812e-27     
   15.0000       1.0000e+14    1.58950177e-22     
   15.0000       2.0000e+14    1.35633134e-22     
   15.0000       5.0000e+14    9.95069167e-23     
   15.0000       1.0000e+15    7.34645113e-23     
   15.0000       2.0000e+15    5.16743635e-23     
   15.0000       5.0000e+15    3.06718921e-23     
   15.0000       1.0000e+16    2.00340874e-23     
   15.0000       2.0000e+16    1.28356565e-23     
   15.0000       5.0000e+16    6.97814616e-24     
   15.0000       1.0000e+17    4.35288137e-24     
   15.0000       2.0000e+17    2.69849031e-24     
   15.0000       5.0000e+17    1.42556758e-24     
   15.0000       1.0000e+18    8.77786562e-25     
   15.0000       2.0000e+18    5.40019096e-25     
   15.0000       5.0000e+18    2.84072528e-25     
   15.0000       1.0000e+19    1.75143608e-25     
   15.0000       2.0000e+19    1.07853901e-25     
   15.0000       5.0000e+19    5.64030410e-26     
   15.0000       1.0000e+20    3.46844905e-26     
   15.0000       2.0000e+20    2.15438010e-26     
   15.0000       5.0000e+20    1.13161505e-26     
   15.0000       1.0000e+21    6.63934427e-27     
   15.0000       2.0000e+21    3.69717653e-27     
   20.0000       1.0000e+14    2.11581627e-22     
