#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=3.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    7.19748141e-28     
   1.0000        2.0000e+14    7.29061635e-28     
   1.0000        5.0000e+14    7.45083649e-28     
   1.0000        1.0000e+15    7.60767643e-28     
   1.0000        2.0000e+15    7.80357341e-28     
   1.0000        5.0000e+15    8.13945543e-28     
   1.0000        1.0000e+16    8.46872242e-28     
   1.0000        2.0000e+16    8.88259083e-28     
   1.0000        5.0000e+16    9.60353364e-28     
   1.0000        1.0000e+17    1.03297184e-27     
   1.0000        2.0000e+17    1.12786066e-27     
   1.0000        5.0000e+17    1.30589636e-27     
   1.0000        1.0000e+18    1.50647577e-27     
   1.0000        2.0000e+18    1.80894777e-27     
   1.0000        5.0000e+18    2.49822955e-27     
   1.0000        1.0000e+19    3.39482309e-27     
   1.0000        2.0000e+19    4.76206482e-27     
   1.0000        5.0000e+19    7.26613332e-27     
   1.0000        1.0000e+20    9.30397411e-27     
   1.0000        2.0000e+20    1.10223822e-26     
   1.0000        5.0000e+20    1.25662827e-26     
   1.0000        1.0000e+21    1.33286262e-26     
   1.0000        2.0000e+21    1.39319171e-26     
   1.5000        1.0000e+14    5.00866833e-28     
   1.5000        2.0000e+14    5.05025592e-28     
   1.5000        5.0000e+14    5.12106705e-28     
   1.5000        1.0000e+15    5.18980097e-28     
   1.5000        2.0000e+15    5.27512020e-28     
   1.5000        5.0000e+15    5.42049231e-28     
   1.5000        1.0000e+16    5.56221791e-28     
   1.5000        2.0000e+16    5.73954003e-28     
   1.5000        5.0000e+16    6.04673935e-28     
   1.5000        1.0000e+17    6.35443958e-28     
   1.5000        2.0000e+17    6.75457728e-28     
   1.5000        5.0000e+17    7.50087196e-28     
   1.5000        1.0000e+18    8.33731079e-28     
   1.5000        2.0000e+18    9.58599494e-28     
   1.5000        5.0000e+18    1.23467152e-27     
   1.5000        1.0000e+19    1.57635209e-27     
   1.5000        2.0000e+19    2.06085608e-27     
   1.5000        5.0000e+19    2.84414113e-27     
   1.5000        1.0000e+20    3.39841561e-27     
   1.5000        2.0000e+20    3.82087127e-27     
   1.5000        5.0000e+20    4.17972366e-27     
   1.5000        1.0000e+21    4.35762850e-27     
   1.5000        2.0000e+21    4.49575011e-27     
   2.0000        1.0000e+14    3.82087731e-28     
   2.0000        2.0000e+14    3.84424475e-28     
   2.0000        5.0000e+14    3.88360975e-28     
   2.0000        1.0000e+15    3.92147757e-28     
   2.0000        2.0000e+15    3.96817476e-28     
   2.0000        5.0000e+15    4.04724135e-28     
   2.0000        1.0000e+16    4.12394839e-28     
   2.0000        2.0000e+16    4.21960271e-28     
   2.0000        5.0000e+16    4.38482705e-28     
   2.0000        1.0000e+17    4.54997768e-28     
   2.0000        2.0000e+17    4.76452300e-28     
   2.0000        5.0000e+17    5.16446495e-28     
   2.0000        1.0000e+18    5.61272699e-28     
   2.0000        2.0000e+18    6.27886871e-28     
   2.0000        5.0000e+18    7.72698492e-28     
   2.0000        1.0000e+19    9.46381411e-28     
   2.0000        2.0000e+19    1.18108621e-27     
   2.0000        5.0000e+19    1.53231657e-27     
   2.0000        1.0000e+20    1.76198625e-27     
   2.0000        2.0000e+20    1.92862817e-27     
   2.0000        5.0000e+20    2.06730769e-27     
   2.0000        1.0000e+21    2.13589153e-27     
   2.0000        2.0000e+21    2.18720320e-27     
   3.0000        1.0000e+14    2.58924001e-28     
   3.0000        2.0000e+14    2.59971972e-28     
   3.0000        5.0000e+14    2.61706299e-28     
   3.0000        1.0000e+15    2.63348210e-28     
   3.0000        2.0000e+15    2.65348089e-28     
   3.0000        5.0000e+15    2.68692736e-28     
   3.0000        1.0000e+16    2.71905975e-28     
   3.0000        2.0000e+16    2.75886854e-28     
   3.0000        5.0000e+16    2.82726483e-28     
   3.0000        1.0000e+17    2.89542909e-28     
   3.0000        2.0000e+17    2.98392307e-28     
   3.0000        5.0000e+17    3.14909490e-28     
   3.0000        1.0000e+18    3.33455436e-28     
   3.0000        2.0000e+18    3.60893055e-28     
   3.0000        5.0000e+18    4.19418844e-28     
   3.0000        1.0000e+19    4.86959649e-28     
   3.0000        2.0000e+19    5.73043656e-28     
   3.0000        5.0000e+19    6.91137552e-28     
   3.0000        1.0000e+20    7.62316780e-28     
   3.0000        2.0000e+20    8.11775276e-28     
   3.0000        5.0000e+20    8.52459960e-28     
   3.0000        1.0000e+21    8.72393731e-28     
   3.0000        2.0000e+21    8.86504787e-28     
   5.0000        1.0000e+14    1.53905183e-28     
   5.0000        2.0000e+14    1.54294706e-28     
   5.0000        5.0000e+14    1.54920447e-28     
   5.0000        1.0000e+15    1.55495599e-28     
   5.0000        2.0000e+15    1.56178673e-28     
   5.0000        5.0000e+15    1.57289423e-28     
   5.0000        1.0000e+16    1.58330075e-28     
   5.0000        2.0000e+16    1.59595020e-28     
   5.0000        5.0000e+16    1.61729075e-28     
   5.0000        1.0000e+17    1.63828026e-28     
   5.0000        2.0000e+17    1.66533078e-28     
   5.0000        5.0000e+17    1.71562308e-28     
   5.0000        1.0000e+18    1.77199693e-28     
   5.0000        2.0000e+18    1.85493820e-28     
   5.0000        5.0000e+18    2.02870804e-28     
   5.0000        1.0000e+19    2.22205488e-28     
   5.0000        2.0000e+19    2.45586745e-28     
   5.0000        5.0000e+19    2.75456659e-28     
   5.0000        1.0000e+20    2.92419412e-28     
   5.0000        2.0000e+20    3.03932882e-28     
   5.0000        5.0000e+20    3.13414908e-28     
   5.0000        1.0000e+21    3.17997336e-28     
   5.0000        2.0000e+21    3.21072587e-28     
   7.0000        1.0000e+14    1.07321735e-28     
   7.0000        2.0000e+14    1.07528800e-28     
   7.0000        5.0000e+14    1.07854245e-28     
   7.0000        1.0000e+15    1.08146315e-28     
   7.0000        2.0000e+15    1.08485454e-28     
   7.0000        5.0000e+15    1.09021743e-28     
   7.0000        1.0000e+16    1.09510257e-28     
   7.0000        2.0000e+16    1.10089875e-28     
   7.0000        5.0000e+16    1.11041853e-28     
   7.0000        1.0000e+17    1.11956384e-28     
   7.0000        2.0000e+17    1.13114818e-28     
   7.0000        5.0000e+17    1.15235035e-28     
   7.0000        1.0000e+18    1.17585103e-28     
   7.0000        2.0000e+18    1.21014754e-28     
   7.0000        5.0000e+18    1.28120255e-28     
   7.0000        1.0000e+19    1.35894863e-28     
   7.0000        2.0000e+19    1.45099833e-28     
   7.0000        5.0000e+19    1.56557425e-28     
   7.0000        1.0000e+20    1.62942921e-28     
   7.0000        2.0000e+20    1.67262887e-28     
   7.0000        5.0000e+20    1.70840130e-28     
   7.0000        1.0000e+21    1.72558025e-28     
   7.0000        2.0000e+21    1.73685212e-28     
   10.0000       1.0000e+14    7.21755872e-29     
   10.0000       2.0000e+14    7.22834293e-29     
   10.0000       5.0000e+14    7.24491266e-29     
   10.0000       1.0000e+15    7.25939038e-29     
   10.0000       2.0000e+15    7.27574652e-29     
   10.0000       5.0000e+15    7.30066163e-29     
   10.0000       1.0000e+16    7.32242163e-29     
   10.0000       2.0000e+16    7.34720971e-29     
   10.0000       5.0000e+16    7.38587996e-29     
   10.0000       1.0000e+17    7.42113226e-29     
   10.0000       2.0000e+17    7.46382392e-29     
   10.0000       5.0000e+17    7.53826298e-29     
   10.0000       1.0000e+18    7.61760400e-29     
   10.0000       2.0000e+18    7.73055325e-29     
   10.0000       5.0000e+18    7.95982049e-29     
   10.0000       1.0000e+19    8.20670795e-29     
   10.0000       2.0000e+19    8.49515747e-29     
   10.0000       5.0000e+19    8.84948399e-29     
   10.0000       1.0000e+20    9.04560199e-29     
   10.0000       2.0000e+20    9.17870623e-29     
   10.0000       5.0000e+20    9.28986340e-29     
   10.0000       1.0000e+21    9.34312874e-29     
   10.0000       2.0000e+21    9.37759178e-29     
   15.0000       1.0000e+14    4.53734664e-29     
   15.0000       2.0000e+14    4.54254052e-29     
   15.0000       5.0000e+14    4.55034000e-29     
   15.0000       1.0000e+15    4.55695678e-29     
   15.0000       2.0000e+15    4.56418945e-29     
   15.0000       5.0000e+15    4.57467165e-29     
   15.0000       1.0000e+16    4.58326246e-29     
