#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=10.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(10)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    1.43114578e-26     
   1.0000        2.0000e+14    1.52730654e-26     
   1.0000        5.0000e+14    1.76098238e-26     
   1.0000        1.0000e+15    2.04964609e-26     
   1.0000        2.0000e+15    2.41918154e-26     
   1.0000        5.0000e+15    2.93721592e-26     
   1.0000        1.0000e+16    3.28153977e-26     
   1.0000        2.0000e+16    3.55481107e-26     
   1.0000        5.0000e+16    3.80685028e-26     
   1.0000        1.0000e+17    3.93044411e-26     
   1.0000        2.0000e+17    4.01252417e-26     
   1.0000        5.0000e+17    4.07837959e-26     
   1.0000        1.0000e+18    4.10765540e-26     
   1.0000        2.0000e+18    4.12603564e-26     
   1.0000        5.0000e+18    4.14022178e-26     
   1.0000        1.0000e+19    4.14638506e-26     
   1.0000        2.0000e+19    4.15019462e-26     
   1.0000        5.0000e+19    4.15312956e-26     
   1.0000        1.0000e+20    4.15444385e-26     
   1.0000        2.0000e+20    4.15527643e-26     
   1.0000        5.0000e+20    4.15590169e-26     
   1.0000        1.0000e+21    4.15617180e-26     
   1.0000        2.0000e+21    4.15636324e-26     
   1.5000        1.0000e+14    8.63291859e-27     
   1.5000        2.0000e+14    9.07612082e-27     
   1.5000        5.0000e+14    1.01387742e-26     
   1.5000        1.0000e+15    1.14078717e-26     
   1.5000        2.0000e+15    1.29731838e-26     
   1.5000        5.0000e+15    1.50855540e-26     
   1.5000        1.0000e+16    1.64487326e-26     
   1.5000        2.0000e+16    1.75106160e-26     
   1.5000        5.0000e+16    1.84744948e-26     
   1.5000        1.0000e+17    1.89410770e-26     
   1.5000        2.0000e+17    1.92480681e-26     
   1.5000        5.0000e+17    1.94920351e-26     
   1.5000        1.0000e+18    1.95993401e-26     
   1.5000        2.0000e+18    1.96660990e-26     
   1.5000        5.0000e+18    1.97170517e-26     
   1.5000        1.0000e+19    1.97387949e-26     
   1.5000        2.0000e+19    1.97520539e-26     
   1.5000        5.0000e+19    1.97621523e-26     
   1.5000        1.0000e+20    1.97665368e-26     
   1.5000        2.0000e+20    1.97691995e-26     
   1.5000        5.0000e+20    1.97711399e-26     
   1.5000        1.0000e+21    1.97719840e-26     
   1.5000        2.0000e+21    1.97725762e-26     
   2.0000        1.0000e+14    5.92588742e-27     
   2.0000        2.0000e+14    6.17606749e-27     
   2.0000        5.0000e+14    6.77010379e-27     
   2.0000        1.0000e+15    7.46669764e-27     
   2.0000        2.0000e+15    8.30968611e-27     
   2.0000        5.0000e+15    9.42543352e-27     
   2.0000        1.0000e+16    1.01344555e-26     
   2.0000        2.0000e+16    1.06812441e-26     
   2.0000        5.0000e+16    1.11731780e-26     
   2.0000        1.0000e+17    1.14095507e-26     
   2.0000        2.0000e+17    1.15642482e-26     
   2.0000        5.0000e+17    1.16865268e-26     
   2.0000        1.0000e+18    1.17399955e-26     
   2.0000        2.0000e+18    1.17731097e-26     
   2.0000        5.0000e+18    1.17982269e-26     
   2.0000        1.0000e+19    1.18088470e-26     
   2.0000        2.0000e+19    1.18152874e-26     
   2.0000        5.0000e+19    1.18201563e-26     
   2.0000        1.0000e+20    1.18222279e-26     
   2.0000        2.0000e+20    1.18234600e-26     
   2.0000        5.0000e+20    1.18243495e-26     
   2.0000        1.0000e+21    1.18247372e-26     
   2.0000        2.0000e+21    1.18250019e-26     
   3.0000        1.0000e+14    3.47036031e-27     
   3.0000        2.0000e+14    3.58082175e-27     
   3.0000        5.0000e+14    3.84031835e-27     
   3.0000        1.0000e+15    4.13982952e-27     
   3.0000        2.0000e+15    4.49637993e-27     
   3.0000        5.0000e+15    4.96009848e-27     
   3.0000        1.0000e+16    5.25040495e-27     
   3.0000        2.0000e+16    5.47192284e-27     
   3.0000        5.0000e+16    5.66919807e-27     
   3.0000        1.0000e+17    5.76312576e-27     
   3.0000        2.0000e+17    5.82417922e-27     
   3.0000        5.0000e+17    5.87209852e-27     
   3.0000        1.0000e+18    5.89289986e-27     
   3.0000        2.0000e+18    5.90571320e-27     
   3.0000        5.0000e+18    5.91535938e-27     
   3.0000        1.0000e+19    5.91939996e-27     
   3.0000        2.0000e+19    5.92183829e-27     
   3.0000        5.0000e+19    5.92366378e-27     
   3.0000        1.0000e+20    5.92442314e-27     
   3.0000        2.0000e+20    5.92486684e-27     
   3.0000        5.0000e+20    5.92518636e-27     
   3.0000        1.0000e+21    5.92532529e-27     
   3.0000        2.0000e+21    5.92541624e-27     
   5.0000        1.0000e+14    1.72174321e-27     
   5.0000        2.0000e+14    1.76050909e-27     
   5.0000        5.0000e+14    1.85074080e-27     
   5.0000        1.0000e+15    1.95445818e-27     
   5.0000        2.0000e+15    2.07729782e-27     
   5.0000        5.0000e+15    2.23569416e-27     
   5.0000        1.0000e+16    2.33379053e-27     
   5.0000        2.0000e+16    2.40785594e-27     
   5.0000        5.0000e+16    2.47296596e-27     
   5.0000        1.0000e+17    2.50353349e-27     
   5.0000        2.0000e+17    2.52316652e-27     
   5.0000        5.0000e+17    2.53837198e-27     
   5.0000        1.0000e+18    2.54488404e-27     
   5.0000        2.0000e+18    2.54885370e-27     
   5.0000        5.0000e+18    2.55180531e-27     
   5.0000        1.0000e+19    2.55302702e-27     
   5.0000        2.0000e+19    2.55375892e-27     
   5.0000        5.0000e+19    2.55429979e-27     
   5.0000        1.0000e+20    2.55452033e-27     
   5.0000        2.0000e+20    2.55464794e-27     
   5.0000        5.0000e+20    2.55474012e-27     
   5.0000        1.0000e+21    2.55477986e-27     
   5.0000        2.0000e+21    2.55480477e-27     
   7.0000        1.0000e+14    1.07307141e-27     
   7.0000        2.0000e+14    1.09256041e-27     
   7.0000        5.0000e+14    1.13771998e-27     
   7.0000        1.0000e+15    1.18993546e-27     
   7.0000        2.0000e+15    1.25210431e-27     
   7.0000        5.0000e+15    1.33241058e-27     
   7.0000        1.0000e+16    1.38200027e-27     
   7.0000        2.0000e+16    1.41922003e-27     
   7.0000        5.0000e+16    1.45162218e-27     
   7.0000        1.0000e+17    1.46664450e-27     
   7.0000        2.0000e+17    1.47617784e-27     
   7.0000        5.0000e+17    1.48345414e-27     
   7.0000        1.0000e+18    1.48652173e-27     
   7.0000        2.0000e+18    1.48836711e-27     
   7.0000        5.0000e+18    1.48971911e-27     
   7.0000        1.0000e+19    1.49027097e-27     
   7.0000        2.0000e+19    1.49059811e-27     
   7.0000        5.0000e+19    1.49083668e-27     
   7.0000        1.0000e+20    1.49093270e-27     
   7.0000        2.0000e+20    1.49098797e-27     
   7.0000        5.0000e+20    1.49102787e-27     
   7.0000        1.0000e+21    1.49104491e-27     
   7.0000        2.0000e+21    1.49105536e-27     
   10.0000       1.0000e+14    6.46657395e-28     
   10.0000       2.0000e+14    6.56123843e-28     
   10.0000       5.0000e+14    6.77943400e-28     
   10.0000       1.0000e+15    7.03480405e-28     
   10.0000       2.0000e+15    7.34266727e-28     
   10.0000       5.0000e+15    7.74365678e-28     
   10.0000       1.0000e+16    7.99149056e-28     
   10.0000       2.0000e+16    8.17655987e-28     
   10.0000       5.0000e+16    8.33586953e-28     
   10.0000       1.0000e+17    8.40850849e-28     
   10.0000       2.0000e+17    8.45380311e-28     
   10.0000       5.0000e+17    8.48758424e-28     
   10.0000       1.0000e+18    8.50144806e-28     
   10.0000       2.0000e+18    8.50958694e-28     
   10.0000       5.0000e+18    8.51538281e-28     
   10.0000       1.0000e+19    8.51768082e-28     
   10.0000       2.0000e+19    8.51900976e-28     
   10.0000       5.0000e+19    8.51995206e-28     
   10.0000       1.0000e+20    8.52032219e-28     
   10.0000       2.0000e+20    8.52053251e-28     
   10.0000       5.0000e+20    8.52068250e-28     
   10.0000       1.0000e+21    8.52074525e-28     
   10.0000       2.0000e+21    8.52078285e-28     
   15.0000       1.0000e+14    3.64847513e-28     
   15.0000       2.0000e+14    3.69018360e-28     
   15.0000       5.0000e+14    3.78547123e-28     
   15.0000       1.0000e+15    3.89914497e-28     
   15.0000       2.0000e+15    4.03921761e-28     
   15.0000       5.0000e+15    4.22484310e-28     
