#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    1.45578711e-27     
   1.0000        2.0000e+14    1.47738154e-27     
   1.0000        5.0000e+14    1.51481064e-27     
   1.0000        1.0000e+15    1.55181474e-27     
   1.0000        2.0000e+15    1.59858582e-27     
   1.0000        5.0000e+15    1.68039593e-27     
   1.0000        1.0000e+16    1.76292336e-27     
   1.0000        2.0000e+16    1.87064664e-27     
   1.0000        5.0000e+16    2.07201915e-27     
   1.0000        1.0000e+17    2.29802551e-27     
   1.0000        2.0000e+17    2.63733862e-27     
   1.0000        5.0000e+17    3.41013478e-27     
   1.0000        1.0000e+18    4.40113177e-27     
   1.0000        2.0000e+18    5.83658840e-27     
   1.0000        5.0000e+18    8.20356257e-27     
   1.0000        1.0000e+19    9.93707278e-27     
   1.0000        2.0000e+19    1.13475339e-26     
   1.0000        5.0000e+19    1.26935553e-26     
   1.0000        1.0000e+20    1.34009427e-26     
   1.0000        2.0000e+20    1.38891952e-26     
   1.0000        5.0000e+20    1.42778247e-26     
   1.0000        1.0000e+21    1.44535657e-26     
   1.0000        2.0000e+21    1.45831664e-26     
   1.5000        1.0000e+14    9.86839538e-28     
   1.5000        2.0000e+14    9.96491050e-28     
   1.5000        5.0000e+14    1.01305891e-27     
   1.5000        1.0000e+15    1.02931599e-27     
   1.5000        2.0000e+15    1.04976207e-27     
   1.5000        5.0000e+15    1.08538172e-27     
   1.5000        1.0000e+16    1.12123840e-27     
   1.5000        2.0000e+16    1.16804245e-27     
   1.5000        5.0000e+16    1.25578225e-27     
   1.5000        1.0000e+17    1.35475353e-27     
   1.5000        2.0000e+17    1.50369944e-27     
   1.5000        5.0000e+17    1.83783209e-27     
   1.5000        1.0000e+18    2.24810410e-27     
   1.5000        2.0000e+18    2.80446462e-27     
   1.5000        5.0000e+18    3.63633898e-27     
   1.5000        1.0000e+19    4.19311305e-27     
   1.5000        2.0000e+19    4.62509615e-27     
   1.5000        5.0000e+19    5.02428709e-27     
   1.5000        1.0000e+20    5.22366004e-27     
   1.5000        2.0000e+20    5.35376985e-27     
   1.5000        5.0000e+20    5.45364202e-27     
   1.5000        1.0000e+21    5.49918964e-27     
   1.5000        2.0000e+21    5.53241758e-27     
   2.0000        1.0000e+14    7.37826419e-28     
   2.0000        2.0000e+14    7.43250811e-28     
   2.0000        5.0000e+14    7.52466553e-28     
   2.0000        1.0000e+15    7.61433325e-28     
   2.0000        2.0000e+15    7.72645177e-28     
   2.0000        5.0000e+15    7.92082644e-28     
   2.0000        1.0000e+16    8.11596589e-28     
   2.0000        2.0000e+16    8.37058377e-28     
   2.0000        5.0000e+16    8.84893798e-28     
   2.0000        1.0000e+17    9.39068981e-28     
   2.0000        2.0000e+17    1.02074093e-27     
   2.0000        5.0000e+17    1.20211363e-27     
   2.0000        1.0000e+18    1.41875908e-27     
   2.0000        2.0000e+18    1.70095331e-27     
   2.0000        5.0000e+18    2.10012706e-27     
   2.0000        1.0000e+19    2.35524449e-27     
   2.0000        2.0000e+19    2.54892848e-27     
   2.0000        5.0000e+19    2.72448165e-27     
   2.0000        1.0000e+20    2.80938130e-27     
   2.0000        2.0000e+20    2.86325873e-27     
   2.0000        5.0000e+20    2.90413419e-27     
   2.0000        1.0000e+21    2.92281254e-27     
   2.0000        2.0000e+21    2.93604201e-27     
   3.0000        1.0000e+14    4.85358853e-28     
   3.0000        2.0000e+14    4.87790924e-28     
   3.0000        5.0000e+14    4.91850994e-28     
   3.0000        1.0000e+15    4.95740507e-28     
   3.0000        2.0000e+15    5.00547518e-28     
   3.0000        5.0000e+15    5.08790741e-28     
   3.0000        1.0000e+16    5.17004826e-28     
   3.0000        2.0000e+16    5.27686660e-28     
   3.0000        5.0000e+16    5.47757931e-28     
   3.0000        1.0000e+17    5.70558821e-28     
   3.0000        2.0000e+17    6.04951970e-28     
   3.0000        5.0000e+17    6.80320640e-28     
   3.0000        1.0000e+18    7.67463053e-28     
   3.0000        2.0000e+18    8.75955922e-28     
   3.0000        5.0000e+18    1.02078746e-27     
   3.0000        1.0000e+19    1.10937634e-27     
   3.0000        2.0000e+19    1.17534497e-27     
   3.0000        5.0000e+19    1.23383367e-27     
   3.0000        1.0000e+20    1.26115519e-27     
   3.0000        2.0000e+20    1.27808648e-27     
   3.0000        5.0000e+20    1.29088327e-27     
   3.0000        1.0000e+21    1.29671441e-27     
   3.0000        2.0000e+21    1.30065852e-27     
   5.0000        1.0000e+14    2.77366351e-28     
   5.0000        2.0000e+14    2.78268817e-28     
   5.0000        5.0000e+14    2.79730553e-28     
   5.0000        1.0000e+15    2.81089498e-28     
   5.0000        2.0000e+15    2.82726504e-28     
   5.0000        5.0000e+15    2.85455163e-28     
   5.0000        1.0000e+16    2.88107329e-28     
   5.0000        2.0000e+16    2.91494089e-28     
   5.0000        5.0000e+16    2.97756582e-28     
   5.0000        1.0000e+17    3.04798099e-28     
   5.0000        2.0000e+17    3.15338122e-28     
   5.0000        5.0000e+17    3.38056322e-28     
   5.0000        1.0000e+18    3.63575767e-28     
   5.0000        2.0000e+18    3.94220830e-28     
   5.0000        5.0000e+18    4.33443002e-28     
   5.0000        1.0000e+19    4.56764882e-28     
   5.0000        2.0000e+19    4.73925807e-28     
   5.0000        5.0000e+19    4.88870801e-28     
   5.0000        1.0000e+20    4.95679158e-28     
   5.0000        2.0000e+20    4.99852970e-28     
   5.0000        5.0000e+20    5.03026180e-28     
   5.0000        1.0000e+21    5.04461602e-28     
   5.0000        2.0000e+21    5.05389310e-28     
   7.0000        1.0000e+14    1.88185752e-28     
   7.0000        2.0000e+14    1.88664628e-28     
   7.0000        5.0000e+14    1.89422864e-28     
   7.0000        1.0000e+15    1.90110345e-28     
   7.0000        2.0000e+15    1.90918899e-28     
   7.0000        5.0000e+15    1.92226589e-28     
   7.0000        1.0000e+16    1.93459023e-28     
   7.0000        2.0000e+16    1.94990961e-28     
   7.0000        5.0000e+16    1.97740144e-28     
   7.0000        1.0000e+17    2.00755855e-28     
   7.0000        2.0000e+17    2.05196988e-28     
   7.0000        5.0000e+17    2.14633106e-28     
   7.0000        1.0000e+18    2.25096837e-28     
   7.0000        2.0000e+18    2.37509213e-28     
   7.0000        5.0000e+18    2.53196488e-28     
   7.0000        1.0000e+19    2.62451556e-28     
   7.0000        2.0000e+19    2.69233962e-28     
   7.0000        5.0000e+19    2.75096717e-28     
   7.0000        1.0000e+20    2.77745414e-28     
   7.0000        2.0000e+20    2.79368129e-28     
   7.0000        5.0000e+20    2.80608738e-28     
   7.0000        1.0000e+21    2.81167399e-28     
   7.0000        2.0000e+21    2.81521338e-28     
   10.0000       1.0000e+14    1.22829866e-28     
   10.0000       2.0000e+14    1.23078715e-28     
   10.0000       5.0000e+14    1.23463415e-28     
   10.0000       1.0000e+15    1.23802349e-28     
   10.0000       2.0000e+15    1.24189184e-28     
   10.0000       5.0000e+15    1.24789025e-28     
   10.0000       1.0000e+16    1.25327429e-28     
   10.0000       2.0000e+16    1.25964899e-28     
   10.0000       5.0000e+16    1.27039842e-28     
   10.0000       1.0000e+17    1.28151546e-28     
   10.0000       2.0000e+17    1.29722965e-28     
   10.0000       5.0000e+17    1.32965543e-28     
   10.0000       1.0000e+18    1.36509949e-28     
   10.0000       2.0000e+18    1.40685933e-28     
   10.0000       5.0000e+18    1.45934861e-28     
   10.0000       1.0000e+19    1.49014064e-28     
   10.0000       2.0000e+19    1.51254709e-28     
   10.0000       5.0000e+19    1.53171786e-28     
   10.0000       1.0000e+20    1.54030944e-28     
   10.0000       2.0000e+20    1.54557124e-28     
   10.0000       5.0000e+20    1.54960813e-28     
   10.0000       1.0000e+21    1.55141675e-28     
   10.0000       2.0000e+21    1.55254600e-28     
   15.0000       1.0000e+14    7.47160163e-29     
   15.0000       2.0000e+14    7.48355566e-29     
   15.0000       5.0000e+14    7.50158687e-29     
   15.0000       1.0000e+15    7.51696887e-29     
   15.0000       2.0000e+15    7.53388548e-29     
   15.0000       5.0000e+15    7.55863404e-29     
   15.0000       1.0000e+16    7.57918720e-29     
   15.0000       2.0000e+16    7.60140186e-29     
   15.0000       5.0000e+16    7.63387824e-29     
   15.0000       1.0000e+17    7.66215412e-29     
   15.0000       2.0000e+17    7.69655349e-29     
   15.0000       5.0000e+17    7.75919443e-29     
   15.0000       1.0000e+18    7.82358993e-29     
   15.0000       2.0000e+18    7.89772744e-29     
   15.0000       5.0000e+18    7.98893957e-29     
   15.0000       1.0000e+19    8.04030214e-29     
   15.0000       2.0000e+19    8.07550433e-29     
   15.0000       5.0000e+19    8.10342343e-29     
   15.0000       1.0000e+20    8.11517447e-29     
   15.0000       2.0000e+20    8.12211344e-29     
   15.0000       5.0000e+20    8.12724864e-29     
   15.0000       1.0000e+21    8.12945986e-29     
   15.0000       2.0000e+21    8.13079954e-29     
